Metric name,Example value,Description
v.g.duration.empty,25Min,Estimated time remaining for full discharge
v.g.duration.range,-1Min,… for range limit
v.g.duration.soc,0Min,… for SOC limit
v.g.efficiency,87.60%,Momentary generator efficiency
v.g.kwh,2.6969kWh,Energy sum generated in the running session
v.g.kwh.grid,3.6969kWh,Energy sent to grid during running session
v.g.kwh.grid.total,256.69kWh,Energy sent to grid total
v.g.limit.range,0km,Minimum range limit for generator mode
v.g.limit.soc,80%,Minimum SOC limit for generator mode
v.g.mode,standard,Generator mode (TBD)
v.g.pilot,no,Pilot signal present
v.g.power,125kW,Momentary generator output power
v.g.state,done,Generator state (TBD)
v.g.substate,,Generator substate (TBD)
v.g.temp,16°C,Generator temperature
v.g.time,0Sec,Duration of generator running
v.g.timermode,FALSE,True if generator timer enabled
v.g.timerstart,,Time generator is due to start
v.g.timestamp,2024-11-11 18:19:21 CET,Date & time of last generation end [DateLocal]
v.g.type,,"Connection type (chademo, ccs, …)"
v.g.voltage,0V,Momentary generator output voltage
v.i.temp,,Inverter temperature
v.i.power,42.7kW,Momentary inverter motor power (output=positive)
v.i.efficiency,98.20%,Momentary inverter efficiency
v.m.rpm,,Motor speed (RPM)
v.m.temp,0°C,Motor temperature
v.p.acceleration,0m/s²,Vehicle acceleration
v.p.altitude,327.8m,GPS altitude
v.p.direction,31.2°,GPS direction
v.p.gpshdop,1.3,GPS horizontal dilution of precision (smaller=better)
v.p.gpslock,no,yes = has GPS satellite lock
v.p.gpsmode,AA,<GPS><GLONASS>; N/A/D/E (None/Autonomous/Differential/Estimated)
v.p.gpssq,80%,"GPS signal quality [%] (<30 unusable, >50 good, >80 excellent)"
v.p.gpsspeed,0km/h,GPS speed over ground
v.p.gpstime,2023-12-03 10:16:05 AWST,Time of GPS coordinates [DateLocal]
v.p.latitude,51.3023,GPS latitude
v.p.location,Home,Name of current location if defined
v.p.longitude,7.39006,GPS longitude
v.p.odometer,57913.1km,Vehicle odometer
v.p.satcount,8,GPS satellite count in view
v.p.speed,0km/h,Vehicle speed
v.p.trip,0km,Trip odometer
v.t.alert,"0,0,0,1","TPMS tyre alert levels [0=normal, 1=warning, 2=alert]"
v.t.health,"95,93,96,74%",TPMS tyre health states
v.t.pressure,"206.8,216.4,…kPa",TPMS tyre pressures
v.t.temp,"33,33,34,38°C",TPMS tyre temperatures
v.type,RT,Vehicle type code
v.vin,VF1ACVYB012345678,Vehicle identification number
,,
xi3.s.age,5Min,How long since we last got data from the car
xi3.s.pollermode,0,OBD-II polling mode as explained above
xi3.v.b.p.ocv.avg,4.0646V,Main battery pack - average open-circuit voltage
xi3.v.b.p.ocv.max,4.067V,Main battery pack - highest open-circuit voltage
xi3.v.b.p.ocv.min,4.063V,Main battery pack - lowest open-circuit voltage
xi3.v.b.range.bc,245km,Available range per trip computer (based on current driving mode and style)
xi3.v.b.range.comfort,217km,Available range if you use Comfort mode
xi3.v.b.range.ecopro,245km,Available range if you use EcoPro mode
xi3.v.b.range.ecoproplus,247km,Available range if you use EcoPro+ mode
xi3.v.b.soc.actual,85%,Actual physical state-of-charge of the main battery pack
xi3.v.b.soc.actual.highlimit,93.70%,Highest physical charge level permitted (shown as 100% SOC)
xi3.v.b.soc.actual.lowlimit,10.50%,Minimum physical charge level permitted (shown as 0% SOC)
xi3.v.c.chargecablecapacity,0A,Maximum power capacity of connected charge cable per the charging interface
xi3.v.c.chargeledstate,0,Colour of the “ring light” on the charging interface.
xi3.v.c.chargeplugstatus,Not connected,Charging cable connected?
xi3.v.c.current.dc,0A,Power flowing on the DC side of the AC charger
xi3.v.c.current.dc.limit,0.100003A,Limit
xi3.v.c.current.dc.maxlimit,16A,Maximum limit
xi3.v.c.current.phase1,0A,Power being drawn on AC phase 1
xi3.v.c.current.phase2,0A,Power being drawn on AC phase 2
xi3.v.c.current.phase3,0A,Power being drawn on AC phase 3
xi3.v.c.dc.chargevoltage,0V,Voltage seen on the DC charger input
xi3.v.c.dc.contactorstatus,open,DC contactor state (closed implies we are DC charging)
xi3.v.c.dc.controlsignals,0,DC charger control signals (always see 0?)
xi3.v.c.dc.inprogress,no,DC charging in progress?
xi3.v.c.dc.plugconnected,no,Is DC charger plug connected (doesn’t seem to work)
xi3.v.c.deratingreasons,0,Reasons why charging rate is derated
xi3.v.c.error,0,Charging error codes
xi3.v.c.failsafetriggers,0,Failsafe trigger reasons
xi3.v.c.interruptionreasons,0,Charging interruption reasons
xi3.v.c.pilotsignal,0A,Charge rate pilot signal being received from EVSE
xi3.v.c.readytocharge,no,Are we ready to charge
xi3.v.c.temp.gatedriver,40°C,Charger gatedrive mosfet temperature
xi3.v.c.voltage.dc,8.4V,"Charger output DC voltage being seen (for AC charging, not DC)"
xi3.v.c.voltage.dc.limit,420V,Maximum permitted DC voltge
xi3.v.c.voltage.phase1,0V,Voltage seen on AC charger input phase 1
xi3.v.c.voltage.phase2,0V,Voltage seen on AC charger input phase 2
xi3.v.c.voltage.phase3,0V,Voltage seen on AC charger input phase 3
xi3.v.d.chargeport.dc,no,Is the charger port DC cover open (doesn’t seem to work)
xi3.v.e.autorecirc,no,Ventilation is in “auto-recirculate” mode
xi3.v.e.obdtraffic,no,Are we seeing OBD-II frames from the car?
xi3.v.p.tripconsumption,127Wh/km,Average consumption for the current or most recent trip
xi3.v.p.wheel1_speed,0km/h,Wheel 1 speed
xi3.v.p.wheel2_speed,0km/h,Wheel 2 speed
xi3.v.p.wheel3_speed,0km/h,Wheel 3 speed
xi3.v.p.wheel4_speed,0km/h,Wheel 4 speed
xi3.v.p.wheel_speed,0km/h,Average wheel speed
